category_id,subcategory_id,name,image_name,image_url,cloudflare_image_id,image_found,cloudflare_image_url,matched_filename
1,1,standard_business_cards,business-cards-18pt-matte-silk-lamination_1.webp,,,no,,
4,3,specialty_invitations,metallic-foil-invitations_1.webp,,00b4ddf0-4fd6-4b24-e4e0-bbd128a73600,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/00b4ddf0-4fd6-4b24-e4e0-bbd128a73600/public,metallic-foil-invitations_1.webp
5,130,promotional_main,promo-group-1.png,,0102573e-1ef9-4252-6bd6-0d9300d06b00,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/0102573e-1ef9-4252-6bd6-0d9300d06b00/public,promo-group-1.png
4,37,number_tickets,mesh-banner-8oz-polyester-mesh_2.webp,,,no,,
4,5,wall_calendars,wall-calendars-100lb-gloss-text_2.webp,,28750cd8-7d78-43cf-832c-0361c8628500,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/28750cd8-7d78-43cf-832c-0361c8628500/public,wall-calendars-100lb-gloss-text_2.webp
7,101,letterhead,letterheads-60lb-uncoated_2.webp,,,no,,
4,6,cut_to_shape_magnets,cut-to-shape-magnets-30mil_2.webp,,,no,,
3,53,4mm_foam_board,4mm-foam-board_1.png,,,no,,
4,7,standard_flyers,flyers-100lb-uv-high-gloss_1.webp,,,no,,
4,16,standard_bookmark,bookmark-13pt-enviro-uncoated_2.webp,,,no,,
1,2,specialty_business-cards,pearl-business-cards_1.webp,,08ac0896-7280-4043-0045-6ccf6738dc00,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/08ac0896-7280-4043-0045-6ccf6738dc00/public,pearl-business-cards_1.webp
3,54,a_frame_signs,a-frame-signs-4mm-coroplast.jpg,,,no,,
4,17,specialty_bookmark,bookmark-18pt-matte-silk-lamination_1.webp,,,no,,
3,55,cut-to-shape-permanent-decals_1.webp,cut-to-shape-permanent-decals_1.webp,,,no,,
4,11,standard_postcards,postcards-14pt-aq_1.webp,,0d69f118-83b2-4ee4-9d13-c6191c09f900,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/0d69f118-83b2-4ee4-9d13-c6191c09f900/public,postcards-14pt-aq_1.webp
7,100,envelopes,envelopes-60lb-self-adhesive_1.webp,,,no,,
4,10,specialty_greeting_cards,spot-uv-greeting-cards_1.png,,887ba93e-5783-49c5-4ac1-36ccfb880100,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/887ba93e-5783-49c5-4ac1-36ccfb880100/public,spot-uv-greeting-cards_1.png
4,18,Standard-rack-cards,standard-rack-cards_1.png,,100fce98-2272-456a-5e3b-699113cd8e00,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/100fce98-2272-456a-5e3b-699113cd8e00/public,standard-rack-cards_1.png
3,51,pull_up_banners,pull-up-banners-13oz-matte-vinyl-silverbase_1.png,,baa9c8ee-47dc-4076-1945-f8915cbf9600,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/baa9c8ee-47dc-4076-1945-f8915cbf9600/public,pull-up-banners-13oz-matte-vinyl-silverbase_1.png
4,20,posters,posters-100lb-matte-finish_2.webp,,125382a4-e37c-42fb-ed8f-300b29a27c00,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/125382a4-e37c-42fb-ed8f-300b29a27c00/public,posters-100lb-matte-finish_2.webp
3,52,x_frame_banners,x-frame-banners-13oz-matte-vinyl_2.jpg,,140ada96-a76d-4aba-d5a1-4bef7b3f8b00,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/140ada96-a76d-4aba-d5a1-4bef7b3f8b00/public,x-frame-banners-13oz-matte-vinyl_2.jpg
4,9,standard_greeting_cards,greeting-cards-14pt-aq_1.webp,,,no,,
4,19,standard_tear_cards,tear-cards-14pt-uv_1.jpg,,aea25408-e3d1-4c91-8854-20a6c6b2b100,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/aea25408-e3d1-4c91-8854-20a6c6b2b100/public,tear-cards-14pt-uv_1.jpg
3,57,3mm-aluminum-signs_1,3mm-aluminum-signs_1.png,,,no,,
4,12,specialty_postcards,postcards-14pt-writable-uv-c1s_1.webp,,1607ced8-0c45-43a9-2790-b13e94695b00,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/1607ced8-0c45-43a9-2790-b13e94695b00/public,postcards-14pt-writable-uv-c1s_1.webp
4,21,door_hangers,door-hangers-14pt-matte-finish_1.webp,,,no,,
3,59,car-magnets-30mil_2,car-magnets-30mil_2.webp,,,no,,
3,60,coroplast,quick-ship-coroplast-signs_2.png,,c2850467-0051-4673-2906-1dfbd0897b00,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/c2850467-0051-4673-2906-1dfbd0897b00/public,quick-ship-coroplast-signs_5.png
3,62,3mm-sintra,3mm-sintra_4.png,,,no,,
